Division,Batch-Transaction ID,Transaction Date,Card Posting Dt,Merchant Name,Transaction Amt.,Trx.Currency,Original Amount,Original Currency,G/L Account,G/L Account Description,Cost Center / WBS Element / Order,Cost Center / WBS Element / Order Description,Merchant Type,Merchant Type Description,Purpose
,,,,,339.76,CAD,339.76,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5288-217,6/29/2019,7/1/2019,WINNERS 381,16.94,CAD,16.94,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P02689,FRANKLAND-INSTRL-INDR,5651,Family Clothing Stores,BEACH BALLS
"PARKS, FORESTRY & RECREATION",5291-523,7/4/2019,7/4/2019,PIRATE LIFE,221.48,CAD,221.48,CAD,4118,TICKETS AND ADMISSION FEES,P13355,INSTRCT AQUATICS - GREENWOOD OUT/POOL,7991,Tourist Attractions and Exhibits,ADMISSION FEE
"PARKS, FORESTRY & RECREATION",5291-524,7/4/2019,7/4/2019,PIRATE LIFE,300.58,CAD,300.58,CAD,4118,TICKETS AND ADMISSION FEES,P02689,FRANKLAND-INSTRL-INDR,7991,Tourist Attractions and Exhibits,ADMISSION FEE
"PARKS, FORESTRY & RECREATION",5291-525,7/4/2019,7/4/2019,PIRATE LIFE,110.74,CAD,110.74,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P02685,BEACHES-INSTRL-INDR,7991,Tourist Attractions and Exhibits,ADMISSION FEE
"PARKS, FORESTRY & RECREATION",5302-268,7/18/2019,7/19/2019,ONTARIO SCIENCE CENTRE,705.60,CAD,705.60,CAD,4118,TICKETS AND ADMISSION FEES,*****,,7991,Tourist Attractions and Exhibits,CAMP TRIP ADMISSION FEE
"PARKS, FORESTRY & RECREATION",5303-367,7/19/2019,7/22/2019,HOBBY WORLD,266.04,CAD,266.04,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P02689,FRANKLAND-INSTRL-INDR,5970,"Artist Supply Stores, Craft Shops",ASSORTED CRAFT SUPPLIES FOR FRANKLAND AQ CAMP
"PARKS, FORESTRY & RECREATION",5303-368,7/19/2019,7/22/2019,HOBBY WORLD,209.89,CAD,209.89,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13355,INSTRCT AQUATICS - GREENWOOD OUT/POOL,5970,"Artist Supply Stores, Craft Shops",ASSORTED CRAFT SUPPLIES - GREENWOOD AQ CAMP
"PARKS, FORESTRY & RECREATION",5303-369,7/19/2019,7/22/2019,HOBBY WORLD,127.34,CAD,127.34,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P02685,BEACHES-INSTRL-INDR,5970,"Artist Supply Stores, Craft Shops",ASSORTED CRAFT SUPPLIES - BEACHES AQ CAMP
"PARKS, FORESTRY & RECREATION",5307-288,7/25/2019,7/26/2019,DOLLARAMA # 447,49.78,CAD,49.78,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P02689,FRANKLAND-INSTRL-INDR,5310,Discount Stores,"BALLOONS, LEIS, TOYS"
"PARKS, FORESTRY & RECREATION",5307-289,7/25/2019,7/26/2019,DOLLARAMA # 447,19.78,CAD,19.78,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13355,INSTRCT AQUATICS - GREENWOOD OUT/POOL,5310,Discount Stores,"WATER BALOONS, WATER TOYS"
"PARKS, FORESTRY & RECREATION",5308-331,7/25/2019,7/29/2019,WAL-MART #3159,167.24,CAD,167.24,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13355,INSTRCT AQUATICS - GREENWOOD OUT/POOL,5411,"Grocery Stores, Supermarkets",REPLACEMENT GAZEBO
"PARKS, FORESTRY & RECREATION",5308-332,7/25/2019,7/29/2019,WAL-MART #3159,23.41,CAD,23.41,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P02689,FRANKLAND-INSTRL-INDR,5411,"Grocery Stores, Supermarkets",FREEZIES
,,,,,"2,218.82",CAD,"2,218.82",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5288-218,6/29/2019,7/1/2019,NOFRILLS MICHAELS 1315,9.39,CAD,9.39,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P05102,ISLINGTON CS-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",MARSHMALLOWS
"PARKS, FORESTRY & RECREATION",5288-219,6/29/2019,7/1/2019,WAL-MART # 3000,111.56,CAD,111.56,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5310,Discount Stores,"WATER TOYS, BOWLING SET"
"PARKS, FORESTRY & RECREATION",5288-220,6/30/2019,7/1/2019,BULK BARN STORE # 480,6.52,CAD,6.52,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P05102,ISLINGTON CS-SUMMER CAMPS,5441,"Candy, Nut, Confectionery Stores",DANDIES
"PARKS, FORESTRY & RECREATION",5290-226,7/3/2019,7/3/2019,DOLLARAMA #1181,37.35,CAD,37.35,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5310,Discount Stores,"BOWLS, CLINGWRAPS, CANVAS, COTTON BALLS"
"PARKS, FORESTRY & RECREATION",5291-526,7/4/2019,7/4/2019,WAL-MART # 3031,153.65,CAD,153.65,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5310,Discount Stores,"FOAMS, STONES, BAKING SODA, FREEZIES"
"PARKS, FORESTRY & RECREATION",5291-527,7/4/2019,7/4/2019,TDSB DISTRIBUTION CENT,284.76,CAD,284.76,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,8211,"Schools, Elementary and Secondary",CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION",5293-146,7/6/2019,7/6/2019,AMAZON.CA*MH43D9EQ2,29.38,CAD,29.38,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P12045,ISLINGTON-COMM CTR-PRGM SUPPORT,4816,Computer Network/Information Services,MICS FOR BLUETOOTH SPEAKER
"PARKS, FORESTRY & RECREATION",5296-241,7/9/2019,7/9/2019,PARTY CITY #2007,59.87,CAD,59.87,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5947,"Card, Gift, Novelty, and Souvenir Shops","MEDALS, GAME CARNIVAL"
"PARKS, FORESTRY & RECREATION",5296-242,7/9/2019,7/9/2019,MICHAELS #4918,71.07,CAD,71.07,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5945,"Game, Toy, and Hobby Shops",T SHIRTS
"PARKS, FORESTRY & RECREATION",5296-243,7/9/2019,7/9/2019,DOLLARAMA #0986,18.14,CAD,18.14,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5310,Discount Stores,"BUBBLE WRAPS, BOTTLES"
"PARKS, FORESTRY & RECREATION",5297-243,7/9/2019,7/10/2019,SHOPPERSDRUGMART0880,2.49,CAD,2.49,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P05102,ISLINGTON CS-SUMMER CAMPS,5912,"Drug Stores, Pharmacies",EGGS
"PARKS, FORESTRY & RECREATION",5298-646,7/13/2019,7/15/2019,COSTCO BUSINESS CENTER,77.37,CAD,77.37,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5300,Wholesale Clubs,PAPER PLATES
"PARKS, FORESTRY & RECREATION",5298-647,7/10/2019,7/15/2019,SHOPPERSDRUGMART0863,105.00,CAD,105.00,CAD,4225,BUSINESS TRAV - PUBLIC TRANSIT,P05102,ISLINGTON CS-SUMMER CAMPS,5912,"Drug Stores, Pharmacies",TTC TOKENS FOR CAMP TRIPS
"PARKS, FORESTRY & RECREATION",5299-165,7/14/2019,7/16/2019,WAL-MART #3635,18.28,CAD,18.28,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5310,Discount Stores,"WOOD STICKS, PEAS, JUICE"
"PARKS, FORESTRY & RECREATION",5300-233,7/15/2019,7/17/2019,WAL-MART #1080,17.98,CAD,17.98,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","BAKING SODA, FOOD COLOURING"
"PARKS, FORESTRY & RECREATION",5301-260,7/17/2019,7/18/2019,NO FRILLS #753,81.75,CAD,81.75,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P05102,ISLINGTON CS-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","MILK CHOC, PASTA, CREAM OF TART"
"PARKS, FORESTRY & RECREATION",5301-261,7/17/2019,7/18/2019,COSTCO WHOLESALE W524,117.42,CAD,117.42,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P05102,ISLINGTON CS-SUMMER CAMPS,5300,Wholesale Clubs,"COOKIES, NESTLE, WELCH'S JUICE"
"PARKS, FORESTRY & RECREATION",5301-262,7/17/2019,7/18/2019,DOLLARAMA # 799,13.28,CAD,13.28,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5310,Discount Stores,"TOOTHPICKS, SKEWERS"
"PARKS, FORESTRY & RECREATION",5302-269,7/18/2019,7/19/2019,FOOD BASICS #874,16.20,CAD,16.20,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","CAKEMATE, CAULIFLOWERS"
"PARKS, FORESTRY & RECREATION",5303-370,7/19/2019,7/22/2019,SALLY BEAUTY STORE #55,7.11,CAD,7.11,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,7230,Barber and Beauty Shops,SHAMPOO
"PARKS, FORESTRY & RECREATION",5303-371,7/19/2019,7/22/2019,LOBLAWS #1066,10.10,CAD,10.10,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",ICE
"PARKS, FORESTRY & RECREATION",5304-172,7/19/2019,7/23/2019,SHELL,7.00,CAD,7.00,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P05102,ISLINGTON CS-SUMMER CAMPS,5541,Service Stations (with or without Ancill,BOTTLED WATER
"PARKS, FORESTRY & RECREATION",5304-173,7/22/2019,7/23/2019,FESTIVAL XPRESS LTD.,"1,966.20",CAD,"1,966.20",CAD,4118,TICKETS AND ADMISSION FEES,P05102,ISLINGTON CS-SUMMER CAMPS,7922,Theatrical Producers (except Motion Pict,CAMP TRIP ADMISSION
"PARKS, FORESTRY & RECREATION",5305-251,7/22/2019,7/24/2019,WAL-MART # 3000,42.24,CAD,42.24,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5310,Discount Stores,"COLAS, MENTOS, YEAST FOR EXPERIMENT"
"PARKS, FORESTRY & RECREATION",5306-270,7/24/2019,7/25/2019,ALI'S NO FRILLS #3636,3.97,CAD,3.97,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P05102,ISLINGTON CS-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",WATERMELONS
"PARKS, FORESTRY & RECREATION",5307-290,7/24/2019,7/26/2019,YOUR DOLLAR STORE WITH,58.20,CAD,58.20,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P05102,ISLINGTON CS-SUMMER CAMPS,5999,Miscellaneous and Specialty Retail Store,CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION",5307-291,7/24/2019,7/26/2019,WAL-MART #3635,8.41,CAD,8.41,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P12045,ISLINGTON-COMM CTR-PRGM SUPPORT,5310,Discount Stores,TOTE BOX
"PARKS, FORESTRY & RECREATION",5308-333,7/26/2019,7/29/2019,COSTCO WHOLESALE W524,44.95,CAD,44.95,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P05102,ISLINGTON CS-SUMMER CAMPS,5300,Wholesale Clubs,ASSORTED DRINKS
"PARKS, FORESTRY & RECREATION",5308-334,7/26/2019,7/29/2019,ONTARIO SCIENCE CENTRE,36.00,CAD,36.00,CAD,4118,TICKETS AND ADMISSION FEES,P05102,ISLINGTON CS-SUMMER CAMPS,7991,Tourist Attractions and Exhibits,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5310-225,7/30/2019,7/31/2019,COSTCO WHOLESALE W1169,50.48,CAD,50.48,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P05102,ISLINGTON CS-SUMMER CAMPS,5300,Wholesale Clubs,LUNCHPACKS
,,,,,"3,466.12",CAD,"3,466.12",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5297-244,7/10/2019,7/10/2019,AMAZON.CA PRIME MEMBER,9.03,CAD,9.03,CAD,4136,REGISTRAR FEES,P00404,N-CENTRAL-TURF&HORT,5968,Direct Marketing - Continuity/Subscripti,"MEMBERSHIP 30-DAY TRIAL FORGOT TO CANCEL,NOW CANCELLED"
,,,,,9.03,CAD,9.03,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5296-244,7/9/2019,7/9/2019,LOWES #02494*,38.41,CAD,38.41,CAD,3080,M & E - HAND TOOLS,P03651,TECH SERV. 2-FACILITIES MAIN/CONST,5200,Home Supply Warehouse,DW 5PC NUTDRIVERS IMPCT RDY
"PARKS, FORESTRY & RECREATION",5297-245,7/10/2019,7/10/2019,LOWES #02494*,33.87,CAD,33.87,CAD,2710,GENERAL HARDWARE,P03651,TECH SERV. 2-FACILITIES MAIN/CONST,5200,Home Supply Warehouse,**MORE**  12X3/4 LP HWH SELF DR SC
"PARKS, FORESTRY & RECREATION",5305-252,7/23/2019,7/24/2019,NOBLE 1004,36.16,CAD,36.16,CAD,2535,PLUMBING SUPPLIES,P03651,TECH SERV. 2-FACILITIES MAIN/CONST,5251,Hardware Stores,BALL VALVE
,,,,,108.44,CAD,108.44,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5297-246,7/9/2019,7/10/2019,CDN TIRE STORE #00294,194.28,CAD,194.28,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00670,W-NORTH3-PRGM SUPPORT,5200,Home Supply Warehouse,GARDEN SUPPLIES
"PARKS, FORESTRY & RECREATION",5298-648,7/11/2019,7/15/2019,LEE VALLEY - VAUGHAN,123.74,CAD,123.74,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00670,W-NORTH3-PRGM SUPPORT,5072,Hardware Equipment and Supplies,GARDEN SUPPLIES
"PARKS, FORESTRY & RECREATION",5301-263,7/17/2019,7/18/2019,RONA # 55090,21.45,CAD,21.45,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00670,W-NORTH3-PRGM SUPPORT,5251,Hardware Stores,GARDEN SUPPLIES
"PARKS, FORESTRY & RECREATION",5303-372,7/19/2019,7/22/2019,SPORTS EQUIPMENT OF TO,908.52,CAD,908.52,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00670,W-NORTH3-PRGM SUPPORT,5941,Sporting Goods Stores,TENNIS NETS
"PARKS, FORESTRY & RECREATION",5303-373,7/19/2019,7/22/2019,PLANT WORLD,40.63,CAD,40.63,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P00670,W-NORTH3-PRGM SUPPORT,5261,Lawn and Garden Supply Stores,PEST CONTROL
,,,,,"1,288.62",CAD,"1,288.62",CAD,,,,,,,
ECONOMIC DEVELOPMENT & CULTURE,5306-271,7/23/2019,7/25/2019,CDN TIRE STORE #00600,33.89,CAD,33.89,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,ED0005,FE TS TOURISM/VISITOR SERVICES,5200,Home Supply Warehouse,STEP STOOL
,,,,,33.89,CAD,33.89,CAD,,,,,,,
PUBLIC HEALTH,5301-264,7/17/2019,7/18/2019,EVENTBRITE/CPOCPEAMPCA,60.00,CAD,60.00,CAD,4256,CONFERENCES/SEMINARS - REGISTRATION FEES,PH4110,COMMUNICABLE DISEASE LIAISON UNIT - 100%,7922,Theatrical Producers (except Motion Pict,WORKSHOP
,,,,,60.00,CAD,60.00,CAD,,,,,,,
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5298-649,7/12/2019,7/15/2019,AMZN MKTP CA MH83B1BF2,103.17,CAD,103.17,CAD,2010,STATIONERY AND OFFICE SUPPLIES,FH5001,EXECUTIVE ADMINISTRATION,4816,Computer Network/Information Services,PRIVACY SCREEN FOR GM OFFICE
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5298-650,7/13/2019,7/15/2019,AMZ EZ-PRO SCREEN PROT,-13.18,CAD,-13.18,CAD,2010,STATIONERY AND OFFICE SUPPLIES,FH5001,EXECUTIVE ADMINISTRATION,4816,Computer Network/Information Services,FREIGHT REFUND
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5302-270,7/18/2019,7/19/2019,AMZN MKTP CA MH37J5WC2,98.70,CAD,98.70,CAD,2010,STATIONERY AND OFFICE SUPPLIES,FH5001,EXECUTIVE ADMINISTRATION,4816,Computer Network/Information Services,PRIVACY SCREEN FOR GM OFFICE
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5302-271,7/18/2019,7/19/2019,AMZ EZ-PRO SCREEN PROT,-89.99,CAD,-89.99,CAD,2010,STATIONERY AND OFFICE SUPPLIES,FH5001,EXECUTIVE ADMINISTRATION,4816,Computer Network/Information Services,REFUND PRIVACY SCREEN INCORRECT SIZE
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5310-226,7/30/2019,7/31/2019,LAZAR FAMOUS DELI & BA,25.50,CAD,25.50,CAD,4820,BUSINESS MEETING EXPENSES,FH5002,FINANCE & ADMINISTRATION,5462,Bakeries,REFRESHMENTS FOR FINANCE ADMIN MEETING
,,,,,124.20,CAD,124.20,CAD,,,,,,,
ECONOMIC DEVELOPMENT & CULTURE,5291-528,7/3/2019,7/4/2019,CRUCIAL PINS,542.40,CAD,542.40,CAD,2790,PRESENTATION/PROMOTIONAL ITEMS,AH0014,AC AS CULTURAL OUTREACH,7311,Advertising Services,CULTURAL HOTSPOT MAGNETS
ECONOMIC DEVELOPMENT & CULTURE,5297-247,7/10/2019,7/10/2019,WAV*CRYSTAL MEDIA INC,581.95,CAD,581.95,CAD,4082,PHOTO/VIDEO SERVICES,AH0014,AC AS CULTURAL OUTREACH,7333,"Commercial Art, Graphics, Photography",CULTURAL HOTSPOT LAUNCH VIDEO
,,,,,"1,124.35",CAD,"1,124.35",CAD,,,,,,,
LONG-TERM CARE HOMES & SERVICES,5298-651,7/12/2019,7/15/2019,MICHAELS #4918,115.97,CAD,115.97,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,D3F083,SEVEN OAKS-RESIDENT SERVICES,5945,"Game, Toy, and Hobby Shops",EDUCATION & RECREATION SUPPLIES FOR RESIDENT
LONG-TERM CARE HOMES & SERVICES,5308-335,7/26/2019,7/29/2019,AMZN MKTP CA MA8NN13K1,15.95,CAD,15.95,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,D3F083,SEVEN OAKS-RESIDENT SERVICES,4816,Computer Network/Information Services,WORLD MAP FOR MULTICULTURAL DAY FOR RESIDENTS
LONG-TERM CARE HOMES & SERVICES,5308-336,7/26/2019,7/29/2019,AMZN MKTP CA MH40P9YC0,389.14,CAD,389.14,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,D3F083,SEVEN OAKS-RESIDENT SERVICES,4816,Computer Network/Information Services,ROBOTIC ANIMALS FOR RESIDENTS
LONG-TERM CARE HOMES & SERVICES,5308-337,7/26/2019,7/29/2019,SPECTRUM EDUCATIONAL S,125.03,CAD,125.03,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,D3F083,SEVEN OAKS-RESIDENT SERVICES,5943,"Office, School Supply, and Stationery St",CORKBOARD FOR RESIDENTS
LONG-TERM CARE HOMES & SERVICES,5308-338,7/27/2019,7/29/2019,AMAZON.CA MA8Z10C50,382.39,CAD,382.39,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,D3F083,SEVEN OAKS-RESIDENT SERVICES,4816,Computer Network/Information Services,ROBOTIC ANIMALS FOR RESIDENTS
,,,,,"1,028.48",CAD,"1,028.48",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5290-227,7/2/2019,7/3/2019,ONEIDA EQUIPMENT LTD,838.52,CAD,838.52,CAD,2120,PARTS - MACHINERY & EQUIPMENT,P12136,N-WEST-PRUNING/REMOVAL,5712,"Equipment, Furniture, and Home Furnishin",STIHL PARTS
"PARKS, FORESTRY & RECREATION",5296-245,7/9/2019,7/9/2019,WATER AND ICE NORTH AM,440.70,CAD,440.70,CAD,2535,PLUMBING SUPPLIES,P06689,NORTHWOOD CC-OPERATIONS,5996,Swimming Pools - Sales and Supplies,HEAVY DUTY ORP PROBE
"PARKS, FORESTRY & RECREATION",5306-272,7/23/2019,7/25/2019,SN DIESEL SERVICE,"2,992.06",CAD,"2,992.06",CAD,2120,PARTS - MACHINERY & EQUIPMENT,P00430,N-EAST-WINTER MAINT,5533,"Automotive Parts, Accessories Stores",PARTS
"PARKS, FORESTRY & RECREATION",5307-292,7/25/2019,7/26/2019,LIFTSAFE ENGINEERING,914.17,CAD,914.17,CAD,2120,PARTS - MACHINERY & EQUIPMENT,P00859,ALNESS YD-YARD OPERNS,5085,Industrial Supplies Not Elsewhere Classi,PARTS
"PARKS, FORESTRY & RECREATION",5307-293,7/25/2019,7/26/2019,LIFTSAFE ENGINEERING,212.89,CAD,212.89,CAD,2120,PARTS - MACHINERY & EQUIPMENT,P00859,ALNESS YD-YARD OPERNS,5085,Industrial Supplies Not Elsewhere Classi,PARTS
,,,,,"5,398.34",CAD,"5,398.34",CAD,,,,,,,
EMPLOYMENT & SOCIAL SERVICES,5310-227,7/30/2019,7/31/2019,DOLLARAMA # 759,15.88,CAD,15.88,CAD,4995,OTHER EXPENSES,C01201,GOLDEN MILE  - ADMIN,5310,Discount Stores,7-DOCUMENT FRAMES FOR YOUTH PILOT PROJECT
,,,,,15.88,CAD,15.88,CAD,,,,,,,
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5298-652,7/10/2019,7/15/2019,SHOPPERS DRUG MART #81,27.98,CAD,27.98,CAD,2821,SURGICAL SUPPLIES,F03323,BIRCHMOUNT RESIDENCE-PROPERTY SERVICES,5912,"Drug Stores, Pharmacies",SURGICAL SUPPLIES
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5306-273,7/23/2019,7/25/2019,SHOPPERS DRUG MART #81,27.98,CAD,27.98,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,F01321,ROBERTSON HOUSE-SITE MANAGEMENT,5912,"Drug Stores, Pharmacies",UPDATED COST CENTRE AND DELETED TAXES
,,,,,55.96,CAD,55.96,CAD,,,,,,,
MUNICIPAL LICENSING & STANDARDS,5290-228,7/3/2019,7/3/2019,AMZ*JADE&AMBER LAND,-279.17,CAD,-279.17,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,MS1100,"OFF. OF THE DIRECTOR, LICENSING SERVICES",4816,Computer Network/Information Services,DAMAGED TRIPLE-DRAWER 3X5 CARD FILE
MUNICIPAL LICENSING & STANDARDS,5290-229,7/3/2019,7/3/2019,INSURANCE INSTITUTES,226.66,CAD,226.66,CAD,4760,MEMBERSHIP FEES,MS1100,"OFF. OF THE DIRECTOR, LICENSING SERVICES",8299,Educational Services,IIO MEMBERSHIP FEE
MUNICIPAL LICENSING & STANDARDS,5310-228,7/31/2019,7/31/2019,LOWES.CA,"1,486.45",CAD,"1,486.45",CAD,3050,M & E - KITCHEN,MS1100,"OFF. OF THE DIRECTOR, LICENSING SERVICES",5200,Home Supply Warehouse,KITCHEN FRIDGE X 2
,,,,,"1,433.94",CAD,"1,433.94",CAD,,,,,,,
EMPLOYMENT & SOCIAL SERVICES,5305-254,7/23/2019,7/24/2019,NOFRILLS NICHOLSONS,16.63,CAD,16.63,CAD,*****,OTHER EXPENSES,C01276,CROSSWAYS EMPLOYMENT SERVICES,5411,"Grocery Stores, Supermarkets","**MORE**  STRAWBERRIES,CLEMENTINES-INTENSIVE CASE MANAGEMENT SESSION FOR POVERTY REDUCTION - JULY 24/19"
EMPLOYMENT & SOCIAL SERVICES,5305-255,7/23/2019,7/24/2019,STARBUCKS 04720,280.00,CAD,280.00,CAD,4995,OTHER EXPENSES,C01276,CROSSWAYS EMPLOYMENT SERVICES,5814,Quick Payment Service - Fast-Food Restau,14 X $20.00 STARBUCKS GIFT CARDS-ISSUED TO YOUTH PARTICIPATING IN YOUTH POST SECONDARY ICM SESSIONS - JUL25&29/19
EMPLOYMENT & SOCIAL SERVICES,5310-229,7/30/2019,7/31/2019,FRESHCO #9658,68.19,CAD,68.19,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,C01214,HIGH PARK/PARKDALE-ADMIN,5411,"Grocery Stores, Supermarkets","JUICE,COOKIES,GRANOLA BARS,CHIPS-HIGHPARK/PARKDALE YOUTH GROUP SESSIONS TO BE HELD IN AUG,SEPT&OCT"
,,,,,364.82,CAD,364.82,CAD,,,,,,,
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5297-248,7/9/2019,7/10/2019,THE HOME DEPOT #7001,55.52,CAD,55.52,CAD,3080,M & E - HAND TOOLS,F01523,BIRKDALE RES - PROPERTY SERVICES,5200,Home Supply Warehouse,"**MORE**  SLEDGE SLEDGE HAMMER, 2 BOLTS, 2 NUTS, 4 WASHERS"
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5299-166,7/16/2019,7/16/2019,AMZN MKTP CA MH18O47Y1,23.80,CAD,23.80,CAD,2540,HEATING & AIR CONDITIONING SUPPLIES,F01523,BIRKDALE RES - PROPERTY SERVICES,4816,Computer Network/Information Services,2 UNIVERSAL AC REMOTE
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5303-374,7/18/2019,7/22/2019,THE HOME DEPOT #7238,426.44,CAD,426.44,CAD,3320,FIXTURES,F01523,BIRKDALE RES - PROPERTY SERVICES,5200,Home Supply Warehouse,"PLASKOLITE ACRYLIC LENS, 11' LED LIGHTS, SMOKE DETECTORS X 4"
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5308-339,7/24/2019,7/29/2019,ROHEN FIRE PROTECTION,497.20,CAD,497.20,CAD,4431,CONTRACTED SERVICES - FIRE ALARM SYSTEM,F01523,BIRKDALE RES - PROPERTY SERVICES,6211,Securities - Brokers/Dealers,EMERGENCY SERVICE
"SHELTER, SUPPORT & HOUSING ADMINSTRATION",5308-340,7/26/2019,7/29/2019,THE HOME DEPOT #7001,241.54,CAD,241.54,CAD,2715,PAINT SUPPLIES,F01523,BIRKDALE RES - PROPERTY SERVICES,5200,Home Supply Warehouse,"4 GALLON PAINT, 5"" BRUSH, 5PK 2QT"
,,,,,"1,244.50",CAD,"1,244.50",CAD,,,,,,,
TORONTO WATER,5305-256,7/23/2019,7/24/2019,ATLAS TOOLS & MACHINER,"2,348.11",CAD,"2,348.11",CAD,2710,GENERAL HARDWARE,TW2025,D&C: CENTRAL SERVICES,5251,Hardware Stores,POWER TOLLS FOR WORK TRUCKS
